Rating,Review
3,Mickey and the Wounderous book was great and the kids love it. The new Ant man attraction was good for all ages. Our four year old love the pubs afraid waiting in line because of the loud noises. The 10 year old was afraid of Iron Man   s ride it   s good for 12 and I   ll probably but it was a great ride. The castle is under major construction so there   s no fireworks. Overall the park is still beautiful and wonderful to visit and buy the teacup ride there is a good restaurant that has Standard Chinese food at reasonable prices for Disney. You   ll Have a great day or two. Still probably the best attraction in Hong Kong for children one of the top two for sure. Adults can go on roller coasters and other rides as well they will not be disappointed. 
3,"I   ve been to Hong Kong Disneyland twice and even with new attractions such as the Ant Man and the Wasp, the experience was really flat and not as enjoyable as other Disneylands in the region. With Sleeping Beauty Castle under renovation, pictures taken at the main square isn   t that appealing with the scaffolding in sight. Souvenirs, food and even entrance tickets are slightly more expensive than other Disneylands. "
5,"GO early if you want to do photos with the signboards and Mickey Donald Duck. Otherwise, you could spend an hour just waiting in line to get a free photo. The paid photo is also available at a price.Tomorrow land Iron Man was excellent and we did it twice.Philar Magic is really awesome.Fantasy Land is great for the rides.Adventure Land has some nice opportunities to take photos with Tarzan, a treetop house visit, a boat cruise for kids.Grizzly Gulch was one of my favourites, Roller Coaster ride was worth the 15 minute wait."
3,Disneylands the world over are generic apart from the language. This was no different than the others. It was a shame about all the building work and some closed eating areas.  Definitely worth a visit if you have young children.
3,"This was my second trip here, the first been about 3 years ago. This is a smallish Disneyland park. The attractions are of a high standard but there are few thrill rides and no outdoor roller coaster. The park was clean and tidy. Food was expensive in the park not of an excellent qualify (ie served like warm or cold) and there were few vegetarian options.The castle was under renovation at the time of my visit. The park is easy to walk around and many of the attractions are great for kids. Lines were virtually non existent with our longest wait 20 minutesOverall worth a visit if you are with the kids in Hong Kong and have the time. The park entry is also comparatively inexpensive when compared to other Disneyland parks."
5,We have been to Hong Kong Disneyland a few times already but we still want to come back. Why? Because there are rides we were too chicken to try the first visits that we finally had the courage to try and we ended up loving them. We love the Big Grizzly Mountain ride. We thought it will be too scary but we love it now. Will be back again!
5,We visited here on a Wednesday. We arrived for opening and found the queue times to be short and had done most the rides we wanted to by early afternoon. Unfortunately there were no fireworks due to the castle being renovated and we have seen many parades at Disney world so we decided not to stay for the evening. 
3,"I need to say I have been to    home of Disney    Disneyland Anaheim. HK Disney is about an 8th of that park!    Biggest ride    (as in scary) was Space Mountain. Mostly kiddy rides other than that. We did really enjoy the Lion King show. I can   t get over how expensive it was. Water equates to $6 AUD a small bottle and a burger combo meal equated $22 AUD!!!! We also stayed at Disney Hollywood Hotel   where they have u by the balls and charge insane prices ($120 AUD) for buffet dinner or $55 AUD for breakfast. There are no shops   cafes   supermarkets nearby to grab a snack or cheap dinner, unless u take 2 trains! After travelling thru HK  China for 3 weeks it was just crazy expensive for crappy deep fried food or a flavourless bowl of lettuce salad. Very few food places open. Castle under maintenance. Train under maintenance. vouchers we got on the way in stating ALL shops on main st have 10% discount before 1030... then told at bakery    that not here   ?!!! At home that   s called false advertising?!! Toy Story land was insanely hot   no shade, sun bouncing off light concrete   my husband actually had a hypo while waiting for daughter on ride coz it   s so hot. Come on Disneyland... surely you can put up some    camo style shades    so waiting parents don   t pass out?! A few seats for elderly wouldn   t go astray either. All up pretty disappointing experience and about $900 AUD poorer, for 2 adults & 1 child for 2 day pass (note: u won   t need to go back for a second day). "
5,"Took a five year old and a two year old. Could not fault anything other than a hire pram being pinched, which was quickly replaced.  Staff amazing. If you can stay at one of the hotels, do so.  Makes it all much easier."
4,"A great day out even for adults.We can early and we're able to do almost all rides in a couple of hours. The restaurants were great and a good selection of different foods. Try the caramel popcorn! Unfortunately, when we went the bars and 1 restaurant was closed, but still other options available.The rides are mostly for little kids bit a couple were good for adults. The shopping was the highlight of the day with huge selection of Disney gifts and clothing. Note if there is a daily special get it early as it will sell out. There is not a lot of shade so bring hats and an umbrella."
5,"I went to Hong Kong Disneyland with a little trepidation as our family had been to Disneyland in California 6 months previously.No trepidation needed, we all loved HKDL! Loved loved loved it.Yes, its much smaller than California and there are not as many fast paced rides, none the less, we had a great day. The park is beautiful and the experience is just like being at Anaheim.We went on a day where large amounts of rain were expected, so numbers were down. We had line ups of less than 5 minutes on most rides. The rain held off until 3pm and we'd been able to go through all of the park by that time and we were going back over rides we wanted to do again. Once the rain started we found that most people huddled under their umbrellas, where as we went on all the undercover rides over and over.I totally recommend HKDL, just keep in mind it is smaller and slower paced than other Disney parks."
5,"This Disneyland is a lot of fun. There are many rides that are good like the Iron man experience, hyperspace mountain, the toy story car, and many others. I went to Shanghai Disneyland as well and that one is so crowded you can   t go on a lot of rides but in Hong Kong we were able to ride almost every ride in a day. Lines were very short and the park is small so it   s easy to get around. "
4,"We have been to Disneyland in LA two times, and Tokyo Disneyland Disney Sea. Walking through the gates at HK Disneyland felt like going back to LA. This is because the park is owned by Disney and HK Government. We loved the quietness of HK Disneyland in the morning, most things in HK don't open until 10am, so to walk in with very few people in front of us was great. Toy Storyland doesn't open until 11am. We purchased our tickets online from Australia and printed them before we left. You are sent an email with a link to an electronic version with QR codes and personalised characters, but we used the printed version much easier and the website can be a little slow. We also purchased the Dining Vouchers as well, this entitled us to Lunch or Dinner a popcorn or a iceblock. If you are there for two days, like we were then just double the number of vouchers you purchase. HK Disneyland uses the old style Fast pass system, scan your ticket and get a printed fastpass. We were staying at Disney Explorers Lodge and received fast passes to certain rides from there as well. The food in HK Disneyland is aimed at the Asian Market, although there are restaurants who serve burgers etc. If you have fussy eaters then beware you may have limited choices, but over all the food was Disney quality. We ate at the Starliner Restaurant at Tomorrowland.We loved Space Mountain with the Star Wars overlay, sooo coool. The is no Pirates of the Caribbean ride, sad, but the Lion King show and Mickey's PhilharMagic shows are great fun.Unique to the HK Disneyland is Mystic Manor, an amazing trackless ride so fun we went on it three times, the Big Grizzly Mountain Runaway Mine Cars is great fun, the experience varies depending on where you are sitting, we had front row, amazing, and last row, still fun but a little rough. Also unique to HK Disneyland is the Iron Man Experience, a ride simulator on a Stark Industries flyer through Hong Kong. Lots of fun.When you ride the Jungle Cruise remember to choose the English line or Cantonese line as the skippers script is done in both. They say there is no difference in the line waiting time, we didn't really notice it.Yes HKL Disneyland is smaller than LA Disneyland  Tokyo Disneyland but two days allows you to see pretty much everything and not a break net speed. We are a Disney loving family and our girls were aged 17, 15, and 10 when we attended the park. The Christmas decorations and the parade were great.HK Disneyland is on the MTR line just change at Sunny Bay Station for the Disneyland line. You can use your Octopus Card to travel on the MTR. There are shuttle buses that run from the Disney Hotels to the transport hub at Disneyland and you can walk if you want to along the bay from the hotels. It would be roughly 20 minutes walk from the Disneyland Hotel along the bay. There is also a ferry that runs from Central to HK Disneyland but the MTR train is the best option in my opinion, especially as it has Mickey Shaped Windows and Disney theming inside the train carriages."
4,Australian family of four with 2 kids (12 and 9) enjoyed a full day out at Hong Kong Disneyland with plenty to do and see.If you have been to other Disney's and get a chance to visit Hong Kong   I say definitely do it. There are a couple of unique Hong Kong experiences including two Marvel attractions   Antman and Ironman   both which we enjoyed.For thrill seekers there are a couple of great rides   The Big Grizzly Mountain was probably our favourite   it was unexpected and fast. And the RC Racer in Toystoryland definitely worth the wait.For families with younger kids there is heaps here to do   we kind of skipped fantasyland   but for young families you would probably spend a lot of the day here.The park is easy to get to as well   the dedicated Disney train line was fun to ride on   and with an easily navigable MTR in Hong Kong it was simple and cheap to get to the Park.
4,"If your are travelling to Disney land from mong cok you can purchase your tickets from one of the travel shops at a discounted rate (we purchased ours from Hong Thai travel) this is in the bank centre on Nathan road, right next to the Mong Kok station.   if you go to level 4 there are numerous travel shops (including CTS) which from other reviews that I read is where most people purchased the tickets. We asked around the shops on level 4 for the price of their Disneyland ticket (including CTS) and we found Hong Thai travel the cheapest. The tickets were $557HKD each for adults. I would recommend asking around each shop for their price on the day. They seem to all open at 10am. The sales advisor will hand you a letter which you then take to the box office at Disney land and swap for entry tickets   it was very easy and we had no problems. Hong Thai travel Bank centre Nathan roadAs the park opened at 10.30am we decided to get a taxi on the way there, this costs roughly $200HKD from Mong Kok and takes around 20 minutes.On the way back we used the trains, the route is:Disney land to Sunny Bay (pink line)Sunny Bay to Lai King Station (orange line)Lai King Station to Mong Kok (red line)The trains costs are around $20HKD and takes roughly 1 hour.  if you want to catch the train to Disneyland from Mong Kok the route is;Mong Kok to Lai King Station (red line)Lai King Station to Sunny Bay Station (orange line)Sunny Bay Station to Disneyland (pink line)"
4,"Hong Kong is easy to get to via the MTR from Kowloon, great signage and fast. Our day started well but just after arriving it started to rain quite heavily and didn't stop until mid afternoon. Characters were out in the main street but only saw two during the day, probably due to the rain. Even though the crowds on entry were big once inside it didn't seem crowded at all, Toy Story Land was a ghost town with no one going on the rides in the rain. We enjoy the rides that were open and all in all had a good day. Had heard great things about Mystic Manor but found it just okay, loved Hyperspace Mountain, Ant Man and Ironman. Big Grizzly Mountain Runaway Mine cars were my favorite of the day! Though shopping wasn't as good as Disneyland in the USA which was disappointing, catering mainly to children. Happy to have visited but don't think I'd go to Hong Kong again."
5,You have to visit to understand the memorable experience. It is a place that brings out the child in everyone. You have to stay for the fireworks. Food is expensive so take snacks along.
5,"HKDL got different event for different period. Like Jan Feb for Chines New Year, Apr May for Spring Carnival, then Summer, Halloween and Christmas, each event got different theme for both charaters costume and decorate, and sometimes might got the special daily parade too. Thats why recommend to check clearly which event you want to join before you make the disney trip. If you don't like crowded, Mar & November without any event happening will be your choice!"
3,The park is great if this is the only amusement park available to you. It is small and the rides are very tame. The park can be done in 3 4 of a day. Disney is always clean and has the best customer service.
5,"Visited here with the family and had a very memorable experience. It didn   t seem as big as Anaheim, but very clean and well maintained.  Received priority queuing passes but didn   t need them as the lines were very short."
4,"It's always going to be fun at Disneyland. These are a few of my reminders: don't bring selfie sticks and huge tripods you can bring bottled water or if you have a reusable container, use that instead food can be expensive so eat plenty before going here. Just don't ride the rollercoasters right away. don't miss the Festival of the Lion King Show. You can forget the Moana production though if you're expecting the songs from the movie and to see Maui wear comfortable shoes. there will be lots of walking have fun and don't get discouraged by long queues. you'll have your turn sooner than you think."
4,"To be honest it rained nearly all day, if the weather was better i'm sure my overall impression would have been much better. It lacks the thrill seeking rides of other disney parks. That being said it also lacked the ridiculously long quees. Waits were around 5 minutes! "
4,"A super small but cute Disney park   if you're a Disney fan you tick this park off in a day though, be warned, if you're used to the service in Walt Disney World and Disneyland, it doesn't seem to  translate  as well at Hong Kong Disneyland. The food is also not as good   we had lunch from the Lucky Nugget Saloon, which was mediocre at best.A fun day though, regardless."
4,"Plaza Inn was fantastic, and the kids in our group loved the rides. It   s smaller than Disneyland, but if you love Disney, it   s worth the visit. If you   re not super into Disney, I   d probably skip and just go to Disneyland in Anaheim."
5,"We first did Disneyworld in Orlando some 40 yrs ago with our 2 year old.Back then, we had to buy different value tickets for various rides whereas that has changed and the entry fee now covers all rides etc, except for food. What hasn   t changed. The place is remarkably clean and well maintained given the number of visitors they see each day. Some rides had a long wait ie 40 minutes, so skipped them till later in the day ie 4 5pm, and the wait period was down to less than 10minutes.A very full day. We got there around 10.30 am and left when the street parade finished at around 9.15pm. Exhausting, but simply loved it "
5,"Had a great time at Disneyland. Great, but can be busy on Saturday and Sunday. Only point to note, is that the park opens at 10:00 but the first zone does not open until 10:30. I purchased priority tickets, if going at the weekend I would recommend priority tickets. Queues smaller during the week and not sure if priority needed."
4,"We had a terrific time at Disneyland HongKong   rides were fun, waiting times ok, shows were enjoyable, very clean, staff super friendly   only let down was average food but to be expected."
5,"Even though the rain set in for most of the day, as an adult we still had a fun time at Disneyland Hong Kong"
3,"Good to see while here, but very small. Great if we brought the children, but not for adults who have been to other ones. Not exciting for bigger children either."
5,"I love Disney, I even worked at Disney World in college so when we came to Hong Kong I knew we had to visit. I didn't visit the one in Paris when I went and I regret it. Hong Kong Disneyland is the smallest of the Disney Parks. We were able to ride all the rides in 3 hours when we first arrived at 9:30 a.m. I loved the Wondrous Book of Mickey and the Mystic Manor ride. I also liked the new Ant Man and Wasp ride b c it's like the Buzz Lightyear Space Ranger's ride in Orlando. I also liked how all the characters were dressed up for Easter and the Easter decorations they had up as well. I loved both parades, the afternoon and the night time one reminded me of the Electro Magic Parade that was in Orlando. If you're a Disney fan then you must visit Hong Kong Disneyland!"
5,"Small disneyland catering to kids, but they have some nice rides including the new Ant Man ride. Pricey food and somewhat long queues but that is part of the theme park. Try to go in the morning and then again in the evening, best is to stay one day at the hotel to maximize the park."
4,"It was very essay to go from the city to Disney central Station. We bought tickets on sight with the additional VIP Status so that we didn't have to line up.It was a week day and the park was not full  it was heaven. My only downside to the experience was that the main castle that appears on all their publicity was under reparation and it was very hard to find a restaurant with a variation of vegetarian food unless you liked pop corn, corn on the cob or a vegie burger in one of their fast food outlets. We really enjoyed our selves and so will you. Mind you I am 50 and my friend is 30 something...so it works for adults as well."
5,Awesome attractions that blew my mind away. The attraction is filled with amazing rides and entertainment. There are also halal food that definitely cater to my needs. Glad to be able to meet Mickey and friends.
5,Great fun for the family.  The fact that it is a smaller park than other Disney   s is a plus.  Facilities seem new and loads of different games.
5,Love this place very clean and safe have it own MRT to get here !!! Night time is beautiful too many things to do
3,"The Hong Kong Disneyland is quite small, there are too many people and the waiting line is long. it took average one hour or more in the line. however, the transit Disneyland tram is very nice, very impressive!"
4,"I visited here with my parents and 2 teenage sisters, we had a really fun day! The food offerings were good (albeit expensive). It was incredibly busy, but I think all Disneyland's are! Very easy to get to from Central Hong Kong. I think my highlight was the gift shop which was huge!! I would definitely recommend for a family day out."
3,It was ok. This Disney is more catered for smaller children rather than adults. Some of the areas were closed. There was only one really thrilling ride. the rest are for children. Maybe needs a few more western restaurants as well.
5,Went for day xx brilliant food x was holiday day for local people so very busy buy so polite .. had a great time
5,"I would recommend to go through below tips to navigate easily and manage most of your time at this marvellous amusement park.We visited during new year with 2 year old infant so some points could be helpful for fellow travellers.Tip: 1. dont take big luggage or even trolley bag while entering as they wont let you inside plus you have to PAY to use thier storage service also..only BACKPACK (read not too big) is allowed.2. Book online from klook app to get discount. This only saves time as on spot booking as long que.3. Always reach disneyland by its special metro train as its interior is superb and gives you great feel.4. Take map or use free wifi to access their app for show timings and ride schedule.5. Do not miss any of the live shows as they are worth watching and direction is highly creative.6. Always ask from disneyland employees at ride entrance exit for stickers as they usually keep and gives it for free as soveniour, even when you leav door person can also give you some JUST REMEMBER TO ASK POLITELY.Rest this is worth visiting and whatever age group you belong you cannot miss DISNEYLAND LA LA LAND!!!"
5,"A very small Disney and the castle was being worked on but overall had an amazing time. Was able to ride all the rides we wanted to ride. Very nice staff, lovely experience."
3,"Way smaller then the others and staff did not interact with kids as much as every other then park around the world. Signs to go where hard to read.. Arrows pointing in random direction, son is autistic so got told to take him around to priority que but who knows where that was.. Not many ques. Which was a bonus. Toilets plentiful and clean. Good shading and plenty of seats. "
5,Superb atmosphere in HK Disneyland. Must enter the park by 8am soon it   s opened and have more than enough things to do until dawn. Better check which amusements are under renovation as usually it has 1 or 2 parks under construction everyday. If this is your last item in HK tour you can check in luggage at Kowloon station and visit Disneyland. But recommend to reserve two day ticket if you want to try out all excursions. Fantastic creation and life time snaps to capture in 48 hours.
5,"You will love this place for the fun, food and the nostalgia it creates! Even when you are not a great mickey fan, you have enough avenues to enjoy.   Its not just for kids; even adults enjoy this."
5,Just so friendly.  Lovely food.  It was Halloween time and we had a great time.  It was good that y on could see everything in in one day.
4,The hotel is clean and tidy . The environment is nice . Staff in this hotel is very nice and effective . Swimming pool is good for children . A good resort feeling hotel and a lot of activities for children to play . Better to provide the photo taking for the hotel guest with Disney Explorers Micky as a souvenirs with the Explorer bathrobe .
4,My son and his wife and three children recently visited Disney HK. They had a great time exploring it and said there were virtually no lines!!The one fault they found was in the food. Children   s food was very lacking in variety and taste. Our grandson who must be gluten free had no selections on the children   s menu that he could eat. They had to purchase a $60 steak that was not the best either. They have frequented Disney in the US and it is very conscious of allergies and gluten free menu items are readily available. I would implore the Hong Kong ownership of this American icon to be more sensitive to these needs and make some much needed improvements to their menus.
5,Took some family to park for their first time at a Disney park. They loved it and it was a joy to see the kid in their eyes as they enjoyed all that it had to offer. Weather was great as well.
5,"My first ever Disneyland, couldnt ask for more. Rides were good, shows were good, performers were all excellent! Rides more towards kids friendly. But theres a couple of adult rides. Overall a great experience."
4,"During a recent stop over in Hong Kong we paid a return trip to Disney. We chose a day when the park was quiet so our longest wait was 30 minutes I am sure this is not the case at other times.Unfortunately some of the rides were being tested or being upgraded. To prevent disappointment check out closures before you go.We didn   t eat in the park as previous experience of it   s restaurant were disappointing and very expensive.This was our third visit to the park, whenever we visit Hong Kong a visit to Disney is a must."
4,We had an impromptu trip to Disneyland on a weekday. I love the trip because there is no wait time or at least 15minutes wait time for the rides. Limited restaurants though because maybe it   s a weekday? The bad part though is that the castle is under renovation and there are on going construction in the park. 
5,this is a wonderful place to bring your kids of all ages!!!it was very well kept and clean!! alot of rides for young kids...amzaing staffs around!there were halal foods which was wonderful!! it was fantastic at night and the light parade was fantabulous!!!Its a MUST GO for parents with young kids!!
5,"Who wouldn   t enjoy Disneyland? Hong Kong Disneyland is really easy to access. They have special metro to Disneyland and special designed. You better get there before 10 and directly queue until the parks open (at 10), so once it open you can enjoy many rides without long queue. Just be there on weekdays, avoid weekends!For muslim traveler, you shouldn   t be worry since you can find halal restaurant inside called Tahitian Terrace. It is located close to Tarzan   s Treehouse. The price ranges from 120 150 HKD if i   m not mistaken. I enjoy big rides but avoid big thrill drop. I   ve tried almost all rides except Big Grizzly Mountain Runaway Mine Cars. Shame, i   m afraid of fast backward drop lol. So far I enjoyed Ant Man and The Wasp: Nano Battle, Hyperspace Mountain, Mystic Manor, and Mickey   s Phillarmagic!"
4,"It's my second time here but it's my daughter's first time in HK disneyland.Staff were nice but we weren't given much priority despite being 7mos pregnant. Overall, the theme park is still nice however, the comfort rooms were not well maintained.Shocked to find that regular malls and even Ocean Park provide toilet cleaner liquid dispenser in every cubicle and Disneyland has none! Maybe it's time to upgrade it as well."
5,"Although this is apparently a small Disneyland, I loved it. Being from NZ, it was the first Disney I had been to and everything was amazing. The shows, the rides, the attention to detail. Highly recommend it, although you really only need one day. never queued for longer than 10 mins on a Tuesday in March."
5,"We bought a package through the Disney website. We started at the Explorers lodge and the package included several priority passes (like fast passes). We actually never needed to use them because the longest wait time for a ride was 10 minutes. All of the shows and rides are in English and most cast members speak English really well. This park is the smallest of Disneyland parks in the world, but we still felt like there was enough to keep us busy for our day and a half that we were there. The bus shuttles were very clean and ran on time.Would definitely go again next time we are in Hong Kong."
4,"great way to spend a day in Hong kong as a tourist, easy to wander through the park and lots of fun, overall good value, found some good souvenirs along the way..food a little expensive as is with most parks a should do if your over that way"
2,"I went to HK Disneyland on 5 April which happens to be Qing Ming festival and did not expect the massive crowds on that day. Queues for rides and F&B outlets were very long and we did not have a great experience especially with a young kid. For the amount spent on the tickets, it's really a waste of money as we only sat on a few rides. I'm wondering if the park has any cap on the number of guests in the park as we had a hard time finding seats around. I booked my tickets via the Disneyland Hotel online but there was no info or confirmation given to me whether my park tickets are booked. In the end, I was unable to enter and had to buy tickets on the spot. Luckily, one of the cast members, Carmen, helped us to resolve the issue and let us access without queuing up again. Also the balloons there are overrpriced   HK150 for a helium balloon."
5,We have been to LA and Florida Disney MANY times so we were told we would be disappointed with this one. Not at all! We loved it. It had different rides and shows while still having the same layout and Disney feel. It is expanding a whole lot at the moment. My suggestion would be to add more food restaurants as the food lines were as long as the ride liens. We purchased online tickets and bought a partial ride upgrade. We wanted the full ride upgrade but it was sold out for the day. IMHO it is well worth it! We spent opening to closing there and loved it. The midway games were fun
5,"already went the for 4th times and it will never enough. It was a truly magical experience. Even though it is a small park but full of excitement. The parades, the rides, the characters and cast members all blend to make a great day with the kids. Going there by MTR was so easy."
5,"My wife and I brought 2 daughers in law to Hong Kong Disney recently. It has been more than 5 years since our last visit to Disney. Many new attractions have been added and we enjoyed very much during the visit. Our favourite ride is the Mountain Runaway Mine Car even with our age ranging from 12 to 59. In fact, we played 4 times all together and if time allowed, we would play more ! Take the ride disregarding your age when you visit Hong Kong Disney and have fun."
3,We had a local family member to take us round and he knew all the tricks to get around but the park is so super busy with so many queues. Kids enjoyed. I think evening is way better as easier to get on rides without queues! Avoid weekends and local holidays! The lion king show was fabulous! 
5,Definitely a fun place to visit whilst in Honkers. We had loads of fun there and would recommend a visit
5,"Everyone loves Disneyland !!! If you are traveling with young kids I would really recommend staying at one of the three Disney hotels. The hotels provide coaches, thereby making it more convinient. We stayed at the Disney hotel for two nights, the high point being the visit by the Disney characters at breakfast .  We also took a two day pass, it made the whole experience more relaxed and easy going.  Vegetarian food is only available at one of the restaurants. But the taste and quantity is good.  The park itself is well designed. There are enough options to engage very young kids to older kids.  The parade is not to be missed, as well as the different photo opps with all the Disney characters.  Other than the rides my kids really enjoyed the opportunity to dress up as young Jedi   s n fight the evil forces . A great family vacation. "
